city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ust’-Dzheguta,44.0928,41.9822,Russia,RU,Karachayevo-Cherkesiya,,30369,30369
Kondopoga,62.2000,34.2667,Russia,RU,Kareliya,,30299,30299
Kasimov,54.9583,41.3972,Russia,RU,Ryazanskaya Oblast’,,30243,30243
Mozhaysk,55.5000,36.0333,Russia,RU,Moskovskaya Oblast’,,30190,30190
Gorodets,56.6503,43.4703,Russia,RU,Nizhegorodskaya Oblast’,,30188,30188
Kotovsk,52.5833,41.5000,Russia,RU,Tambovskaya Oblast’,,29999,29999
Slavgorod,53.0000,78.6500,Russia,RU,Altayskiy Kray,,29916,29916
Dedovsk,55.8667,37.1333,Russia,RU,Moskovskaya Oblast’,,29738,29738
Asha,55.0000,57.2500,Russia,RU,Chelyabinskaya Oblast’,,29692,29692
Shumerlya,55.5000,46.4167,Russia,RU,Chuvashiya,,29553,29553
Dagestanskiye Ogni,42.1167,48.2000,Russia,RU,Dagestan,,29401,29401
Kostomuksha,64.5833,30.6000,Russia,RU,Kareliya,,29381,29381
Likino-Dulevo,55.7000,38.9500,Russia,RU,Moskovskaya Oblast’,,29376,29376
Divnogorsk,55.9500,92.3833,Russia,RU,Krasnoyarskiy Kray,,29246,29246
Bogdanovich,56.7833,62.0500,Russia,RU,Sverdlovskaya Oblast’,,29241,29241
Ob,54.9917,82.7125,Russia,RU,Novosibirskaya Oblast’,,29194,29194
Gagarin,55.5500,35.0000,Russia,RU,Smolenskaya Oblast’,,29041,29041
Staraya Russa,57.9833,31.3500,Russia,RU,Novgorodskaya Oblast’,,29019,29019
Barabinsk,55.3500,78.3500,Russia,RU,Novosibirskaya Oblast’,,28941,28941
Petrovsk,52.3167,45.3833,Russia,RU,Saratovskaya Oblast’,,28893,28893
Borzya,50.3833,116.5333,Russia,RU,Zabaykal’skiy Kray,,28888,28888
Yemanzhelinsk,54.7500,61.3167,Russia,RU,Chelyabinskaya Oblast’,,28742,28742
Kartaly,53.0500,60.6500,Russia,RU,Chelyabinskaya Oblast’,,28607,28607
Aleysk,52.5000,82.7833,Russia,RU,Altayskiy Kray,,28528,28528
Gusev,54.5922,22.1997,Russia,RU,Kaliningradskaya Oblast’,minor,28484,28484
Pokhvistnevo,53.6500,52.1333,Russia,RU,Samarskaya Oblast’,,28177,28177
Udomlya,57.8833,35.0167,Russia,RU,Tverskaya Oblast’,,28119,28119
Tara,56.8753,74.4136,Russia,RU,Omskaya Oblast’,,28099,28099
Kushva,58.2833,59.7333,Russia,RU,Sverdlovskaya Oblast’,,28060,28060
Kholmsk,47.0403,142.0431,Russia,RU,Sakhalinskaya Oblast’,,27954,27954
Topki,55.2833,85.6167,Russia,RU,Kemerovskaya Oblast’,,27860,27860
Maloyaroslavets,55.0000,36.4667,Russia,RU,Kaluzhskaya Oblast’,,27791,27791
Desnogorsk,54.1531,33.2903,Russia,RU,Smolenskaya Oblast’,,27771,27771
Zarechnyy,56.8167,61.3167,Russia,RU,Sverdlovskaya Oblast’,,27617,27617
Sorochinsk,52.4333,53.1500,Russia,RU,Orenburgskaya Oblast’,,27547,27547
Verkhniy Ufaley,56.0500,60.2333,Russia,RU,Chelyabinskaya Oblast’,,27498,27498
Gubkinskiy,64.4333,76.5000,Russia,RU,Yamalo-Nenetskiy Avtonomnyy Okrug,,27238,27238
Sol’-Iletsk,51.1667,54.9833,Russia,RU,Orenburgskaya Oblast’,,27085,27085
Mayskiy,43.6333,44.0667,Russia,RU,Kabardino-Balkariya,minor,27074,27074
Karpinsk,59.7667,60.0000,Russia,RU,Sverdlovskaya Oblast’,,26957,26957
Karasuk,53.7333,78.0333,Russia,RU,Novosibirskaya Oblast’,,26902,26902
Dyatkovo,53.6000,34.3333,Russia,RU,Bryanskaya Oblast’,,26775,26775
Novoaleksandrovsk,45.4933,41.2183,Russia,RU,Stavropol’skiy Kray,,26761,26761
Semiluki,51.6833,39.0333,Russia,RU,Voronezhskaya Oblast’,,26732,26732
Kirzhach,56.1500,38.8667,Russia,RU,Vladimirskaya Oblast’,,26676,26676
Sosnogorsk,63.5833,53.9333,Russia,RU,Komi,,26670,26670
Segezha,63.7415,34.3222,Russia,RU,Kareliya,,26666,26666
Kirovsk,67.6142,33.6717,Russia,RU,Murmanskaya Oblast’,,26581,26581
Bolkhov,53.4500,36.0000,Russia,RU,Orlovskaya Oblast’,,26570,26570
Severouralsk,60.1500,59.9333,Russia,RU,Sverdlovskaya Oblast’,,26543,26543
Krasnoarmeysk,56.1000,38.1333,Russia,RU,Moskovskaya Oblast’,,26519,26519
Kamyshlov,56.8500,62.7167,Russia,RU,Sverdlovskaya Oblast’,,26444,26444
Oktyabrsk,53.1667,48.6667,Russia,RU,Samarskaya Oblast’,,26438,26438
Kirovsk,59.8667,30.9833,Russia,RU,Leningradskaya Oblast’,,26387,26387
Dalnerechensk,45.9333,133.7333,Russia,RU,Primorskiy Kray,,26378,26378
Labytnangi,66.6500,66.4000,Russia,RU,Yamalo-Nenetskiy Avtonomnyy Okrug,,26281,26281
Polysayevo,54.6000,86.2833,Russia,RU,Kemerovskaya Oblast’,,26212,26212
Novopavlovsk,43.9636,43.6394,Russia,RU,Stavropol’skiy Kray,,26106,26106
Zavodoukovsk,56.5000,66.5500,Russia,RU,Tyumenskaya Oblast’,,26048,26048
Kimovsk,53.9667,38.5333,Russia,RU,Tul’skaya Oblast’,,25951,25951
Kireyevsk,53.9333,37.9333,Russia,RU,Tul’skaya Oblast’,,25741,25741
Kurchaloy,43.2019,46.0881,Russia,RU,Chechnya,,25672,25672
Otradnoye,59.7833,30.8167,Russia,RU,Leningradskaya Oblast’,,25623,25623
Balabanovo,55.1833,36.6500,Russia,RU,Kaluzhskaya Oblast’,,25608,25608
Yanaul,56.2667,54.9333,Russia,RU,Bashkortostan,,25511,25511
Inta,66.0398,60.1315,Russia,RU,Komi,,25444,25444
Losino-Petrovskiy,55.8667,38.2000,Russia,RU,Moskovskaya Oblast’,,25424,25424
Ozëry,54.8500,38.5500,Russia,RU,Moskovskaya Oblast’,,25359,25359
Mednogorsk,51.4221,57.5953,Russia,RU,Orenburgskaya Oblast’,,25272,25272
Morozovsk,48.3500,41.8333,Russia,RU,Rostovskaya Oblast’,minor,25198,25198
Sasovo,54.3500,41.9167,Russia,RU,Ryazanskaya Oblast’,,25177,25177
Sovetskaya Gavan’,48.9667,140.2833,Russia,RU,Khabarovskiy Kray,,25147,25147
Atkarsk,51.8667,45.0000,Russia,RU,Saratovskaya Oblast’,,25140,25140
Pavlovsk,50.4500,40.0667,Russia,RU,Voronezhskaya Oblast’,minor,24858,24858
Nar’yan-Mar,67.6378,53.0067,Russia,RU,Nenetskiy Avtonomnyy Okrug,admin,24775,24775
Zheleznovodsk,44.1333,43.0333,Russia,RU,Stavropol’skiy Kray,,24768,24768
Zernograd,46.8500,40.3000,Russia,RU,Rostovskaya Oblast’,minor,24561,24561
Neftekumsk,44.7506,44.9797,Russia,RU,Stavropol’skiy Kray,,24472,24472
Semënov,56.8000,44.5000,Russia,RU,Nizhegorodskaya Oblast’,,24400,24400
Stroitel,50.7833,36.4833,Russia,RU,Belgorodskaya Oblast’,,24392,24392
Asino,57.0000,86.1500,Russia,RU,Tomskaya Oblast’,,24354,24354
Rodniki,57.1000,41.7333,Russia,RU,Ivanovskaya Oblast’,,24335,24335
Buturlinovka,50.8250,40.5889,Russia,RU,Voronezhskaya Oblast’,,24319,24319
Uvarovo,51.9833,42.2667,Russia,RU,Tambovskaya Oblast’,,23987,23987
Sharya,58.3667,45.5000,Russia,RU,Kostromskaya Oblast’,,23976,23976
Kalach-na-Donu,48.6833,43.5333,Russia,RU,Volgogradskaya Oblast’,,23947,23947
Buy,58.4833,41.5167,Russia,RU,Kostromskaya Oblast’,,23809,23809
Kuvandyk,51.4833,57.3500,Russia,RU,Orenburgskaya Oblast’,,23763,23763
Tatarsk,55.2167,75.9667,Russia,RU,Novosibirskaya Oblast’,,23729,23729
Kotelnich,58.3089,48.3481,Russia,RU,Kirovskaya Oblast’,,23682,23682
Zheleznogorsk-Ilimskiy,56.5833,104.1167,Russia,RU,Irkutskaya Oblast’,,23643,23643
Bogotol,56.2000,89.5167,Russia,RU,Krasnoyarskiy Kray,,23622,21497
Ipatovo,45.7167,42.9000,Russia,RU,Stavropol’skiy Kray,,23579,23579
Tayga,56.0667,85.6167,Russia,RU,Kemerovskaya Oblast’,,23565,23565
Unecha,52.8500,32.6833,Russia,RU,Bryanskaya Oblast’,,23550,23550
Davlekanovo,54.2167,55.0333,Russia,RU,Bashkortostan,,23499,23499
Lensk,60.7167,114.9000,Russia,RU,Sakha (Yakutiya),,23479,23479
Severobaykalsk,55.6333,109.3167,Russia,RU,Buryatiya,,23365,23365
Sredneuralsk,56.9833,60.4667,Russia,RU,Sverdlovskaya Oblast’,,23353,23353
Zeya,53.7333,127.2500,Russia,RU,Amurskaya Oblast’,,23270,23270
Kolpashevo,58.3167,82.9167,Russia,RU,Tomskaya Oblast’,,23209,23209
Nevyansk,57.4833,60.2000,Russia,RU,Sverdlovskaya Oblast’,,23200,23200
Tashtagol,52.7667,87.8667,Russia,RU,Kemerovskaya Oblast’,,23107,23107
Gusinoozërsk,51.2833,106.5167,Russia,RU,Buryatiya,,23082,23082
Fokino,42.9667,132.4000,Russia,RU,Primorskiy Kray,,23077,23077
Krasnouralsk,58.3500,60.0500,Russia,RU,Sverdlovskaya Oblast’,,22996,22996
Krasnoarmeysk,51.0167,45.7000,Russia,RU,Saratovskaya Oblast’,,22994,22994
Elektrogorsk,55.8833,38.7833,Russia,RU,Moskovskaya Oblast’,,22950,22950
